date,hour,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL
05/01/2016,18,11754,3343,5989,1494,0,158
05/01/2016,19,11747,3391,6025,1706,0,156
05/01/2016,20,11710,3060,5846,1959,0,100
05/01/2016,21,11702,2726,5341,2104,0,93
05/01/2016,22,11701,2495,4614,2140,0,87
05/01/2016,23,11711,1749,3656,2195,0,86
05/01/2016,24,11952,1231,3277,1723,0,77
06/01/2016,1,12155,971,3022,1421,0,50
06/01/2016,2,12141,942,3068,1168,0,23
06/01/2016,3,12117,1049,3056,1090,0,22
06/01/2016,4,11884,1231,3047,1158,0,22
06/01/2016,5,11879,1339,2970,1066,0,22
06/01/2016,6,11881,1339,3125,1361,0,28
06/01/2016,7,12021,1339,3700,1540,0,34
06/01/2016,8,12146,1356,5077,1501,0,37
06/01/2016,9,12149,1357,5256,1309,21,35
06/01/2016,10,12153,1359,4993,1073,93,31
06/01/2016,11,12153,1074,4795,899,113,38
06/01/2016,12,12163,1044,4482,839,154,37
06/01/2016,13,12162,1195,4401,882,128,37
06/01/2016,14,12110,1497,4503,935,141,37
06/01/2016,15,12008,1819,4519,902,97,37
06/01/2016,16,11796,2039,4681,1106,63,37
06/01/2016,17,11802,2165,5144,1000,9,38
06/01/2016,18,11801,2358,6057,1116,0,38
06/01/2016,19,11809,2209,5984,1208,0,38
06/01/2016,20,11811,2174,5876,1262,0,38
06/01/2016,21,11802,2055,5401,1321,0,37
06/01/2016,22,11798,1933,4961,1323,0,37
06/01/2016,23,11796,1440,4583,1253,0,37
06/01/2016,24,11792,1023,4305,1050,0,26
07/01/2016,1,11797,932,3946,809,0,26
07/01/2016,2,11808,940,3902,597,0,25
07/01/2016,3,11835,1058,3628,572,0,23
07/01/2016,4,11833,1216,3587,388,0,21
07/01/2016,5,11823,1344,3649,292,0,21
07/01/2016,6,11822,1378,4361,234,0,27
07/01/2016,7,11830,1515,5066,182,0,35
07/01/2016,8,11826,1549,5740,176,0,59
07/01/2016,9,11813,1628,5710,176,29,95
07/01/2016,10,11809,1628,5459,190,92,125
07/01/2016,11,11814,1543,5397,196,90,120
07/01/2016,12,11824,1610,5543,157,96,187
07/01/2016,13,11824,1616,5334,127,84,215
07/01/2016,14,11824,1925,5034,109,87,202
07/01/2016,15,11829,2221,4975,94,79,161
07/01/2016,16,11836,2402,5069,70,54,117
07/01/2016,17,11834,2488,5362,66,10,102
07/01/2016,18,11833,2615,5956,119,0,117
07/01/2016,19,11833,2608,6179,250,0,193
07/01/2016,20,11828,2351,5997,395,0,215
07/01/2016,21,11825,2209,5675,543,0,155
07/01/2016,22,11825,1663,5267,678,0,38
07/01/2016,23,11506,1254,5012,776,0,37
07/01/2016,24,11345,1123,4749,777,0,27
08/01/2016,1,11345,952,4343,843,0,21
08/01/2016,2,11342,922,3895,955,0,25
08/01/2016,3,11344,922,3851,846,0,22
08/01/2016,4,11332,920,3836,822,0,24
08/01/2016,5,11335,920,3935,892,0,28
08/01/2016,6,11339,923,3944,960,0,26
08/01/2016,7,11336,926,4690,923,0,33
08/01/2016,8,11339,947,5392,1056,0,36
08/01/2016,9,11337,999,5400,1074,15,36
08/01/2016,10,11336,948,5518,1025,43,37
08/01/2016,11,11346,948,5863,856,69,39
08/01/2016,12,11351,948,5806,805,71,57
08/01/2016,13,11344,970,5620,707,72,74
08/01/2016,14,11343,1040,5755,625,49,152
08/01/2016,15,11346,1297,5417,596,29,198
08/01/2016,16,11352,1352,5472,741,14,191
08/01/2016,17,11351,1522,5762,960,2,179
08/01/2016,18,11353,1537,5739,1240,0,159
08/01/2016,19,11358,1534,5768,1378,0,131
08/01/2016,20,11361,1533,5805,1414,0,103
08/01/2016,21,11359,1335,5807,1538,0,142
08/01/2016,22,11351,964,5406,1670,0,160
08/01/2016,23,11354,943,4218,1847,0,128
08/01/2016,24,11346,920,3436,1781,0,76
09/01/2016,1,11351,911,3226,1263,0,26
09/01/2016,2,11224,910,3221,1222,0,7
09/01/2016,3,10684,910,3219,1506,0,8
09/01/2016,4,10526,910,3153,1574,0,3
09/01/2016,5,10529,909,3143,1570,0,0
09/01/2016,6,10578,910,3166,1779,0,0
09/01/2016,7,10824,908,3280,1567,0,0
09/01/2016,8,10881,911,3412,1706,0,0
09/01/2016,9,11243,906,3502,2290,1,0
09/01/2016,10,11364,893,4092,2107,5,0
09/01/2016,11,11363,857,4443,1882,12,0
09/01/2016,12,11359,858,4693,1693,19,0
09/01/2016,13,11357,956,4638,1512,15,0
09/01/2016,14,11355,1028,4834,1311,16,0
09/01/2016,15,11353,1287,5029,1069,12,0
09/01/2016,16,11354,1512,5175,814,5,0
09/01/2016,17,11354,1534,5733,655,1,0
09/01/2016,18,11359,1700,6159,529,0,0
09/01/2016,19,11361,1713,6186,559,0,0
09/01/2016,20,11361,1698,5510,937,0,0
09/01/2016,21,11354,1656,4523,1332,0,0
09/01/2016,22,11352,1369,4022,1547,0,0
09/01/2016,23,11354,987,3605,1377,0,0
09/01/2016,24,11348,903,3212,1560,0,0
10/01/2016,1,11210,905,3113,1149,0,0
10/01/2016,2,10690,906,3109,1143,0,0
10/01/2016,3,10523,890,3181,1252,0,0
10/01/2016,4,10522,883,3050,1366,0,0
10/01/2016,5,10533,889,3102,1400,0,0
10/01/2016,6,10543,896,3230,1238,0,0
10/01/2016,7,10829,880,3881,854,0,0
10/01/2016,8,11119,862,4075,574,0,0
10/01/2016,9,11344,858,3849,928,0,0
10/01/2016,10,11344,854,3643,1691,1,0
10/01/2016,11,11347,852,3958,2081,9,0
10/01/2016,12,11350,853,3946,2307,8,0
10/01/2016,13,11360,856,3700,2632,18,0
10/01/2016,14,11352,860,3727,2610,12,0
10/01/2016,15,11335,866,3728,2683,7,0
10/01/2016,16,11365,868,3981,2802,2,0
10/01/2016,17,11358,880,4542,2962,1,0
10/01/2016,18,11360,890,5333,3126,0,0
10/01/2016,19,11354,912,5540,2803,0,1
10/01/2016,20,11360,917,4790,3042,0,0
10/01/2016,21,11343,918,4444,3061,0,0
10/01/2016,22,11341,914,4059,2892,0,0
10/01/2016,23,11343,913,3669,2751,0,0
10/01/2016,24,11349,917,3349,2478,0,0
11/01/2016,1,11358,916,3309,1854,0,0
11/01/2016,2,11202,917,3373,1279,0,4
11/01/2016,3,10892,910,3391,1508,0,12
11/01/2016,4,10817,912,3359,1744,0,14
11/01/2016,5,10847,918,3239,2507,0,14
11/01/2016,6,11176,920,3489,2115,0,22
11/01/2016,7,11361,963,4331,2462,0,30
11/01/2016,8,11363,1027,5182,2439,1,31
11/01/2016,9,11362,1087,4980,2668,20,30
11/01/2016,10,11365,1216,4499,2541,66,27
11/01/2016,11,11346,1379,4385,2445,101,28
11/01/2016,12,11342,1472,4535,2103,129,27
11/01/2016,13,11357,1626,4654,1780,182,26
11/01/2016,14,11360,1855,4688,1994,130,27
11/01/2016,15,11358,2116,4617,1848,124,26
11/01/2016,16,11361,2388,4741,1630,83,26
11/01/2016,17,11363,2633,5018,1263,11,24
11/01/2016,18,11366,2766,5639,1296,0,24
11/01/2016,19,11363,2781,5697,1241,0,26
11/01/2016,20,11366,2797,5959,1128,0,31
11/01/2016,21,11360,2938,5794,1076,0,31
11/01/2016,22,11362,2485,5470,1090,0,24
11/01/2016,23,11364,1609,5215,1212,0,25
11/01/2016,24,11369,1134,4859,1262,0,25
12/01/2016,1,11373,913,4643,1453,0,21
12/01/2016,2,11374,906,4433,1599,0,19
12/01/2016,3,11374,910,4235,1733,0,20
12/01/2016,4,11379,1017,3954,2085,0,19
12/01/2016,5,11378,1203,3589,2197,0,20
12/01/2016,6,11379,1310,3648,2117,0,24
12/01/2016,7,11378,1315,4580,2082,0,30
12/01/2016,8,11376,1337,5463,2310,0,26
12/01/2016,9,11377,1348,5565,2401,1,25
12/01/2016,10,11378,1437,5351,2490,3,32
12/01/2016,11,11376,1439,5301,2573,7,32
12/01/2016,12,11382,1294,5211,2820,13,32
12/01/2016,13,11385,1416,4705,2938,23,33
12/01/2016,14,11381,1661,4495,2959,59,32
12/01/2016,15,11374,1901,4336,2956,56,32
12/01/2016,16,11374,2015,4541,2808,25,32
12/01/2016,17,11371,2187,4757,3085,8,32
12/01/2016,18,11378,2248,5318,3205,0,32
12/01/2016,19,11381,2380,5410,3179,0,32
12/01/2016,20,11378,2382,5404,3111,0,32
12/01/2016,21,11374,2384,5216,2987,0,32
12/01/2016,22,11360,1900,4571,2928,0,33
12/01/2016,23,11357,1332,4095,2708,0,33
12/01/2016,24,11366,1111,3960,2532,0,26
13/01/2016,1,11373,942,3577,2178,0,25
13/01/2016,2,11383,924,3617,2283,0,25
13/01/2016,3,11385,924,3574,2335,0,27
13/01/2016,4,11387,929,3570,2336,0,27
13/01/2016,5,11384,1037,3632,2204,0,24
13/01/2016,6,11382,1224,3863,1866,0,43
13/01/2016,7,11391,1339,4937,1791,0,60
13/01/2016,8,11387,1365,5379,1985,0,56
13/01/2016,9,11390,1368,5216,2033,23,58
13/01/2016,10,11375,1435,5413,1905,82,32
13/01/2016,11,11360,1460,4948,2013,145,29
13/01/2016,12,11359,1676,4816,1986,151,29
13/01/2016,13,11362,1706,4803,1988,190,27
13/01/2016,14,11352,1824,4824,1960,169,30
13/01/2016,15,11331,2086,4542,2120,121,29
13/01/2016,16,11328,2345,4483,2379,30,36
13/01/2016,17,11325,2717,4977,2276,5,34
13/01/2016,18,11327,2785,5762,2232,0,32
13/01/2016,19,11325,2788,5883,2246,0,40
13/01/2016,20,11328,2772,5598,2333,0,51
13/01/2016,21,11320,2614,5268,2463,0,54
13/01/2016,22,11313,2020,4891,2584,0,50
13/01/2016,23,11319,1340,4207,2660,0,37
13/01/2016,24,11319,926,4123,2596,0,22
14/01/2016,1,11319,914,3619,2397,0,14
14/01/2016,2,11326,921,3431,2176,0,13
14/01/2016,3,11322,1012,3543,1855,0,13
14/01/2016,4,11325,1257,3725,1549,0,14
14/01/2016,5,11329,1540,3841,1239,0,17
14/01/2016,6,11332,1802,4238,1008,0,23
14/01/2016,7,11334,2000,5304,843,0,29
14/01/2016,8,11337,2370,5921,733,1,41
14/01/2016,9,11333,2529,6003,714,4,41
14/01/2016,10,11382,2214,5958,570,12,41
14/01/2016,11,11389,2236,5889,507,20,40
14/01/2016,12,11383,2401,5838,455,16,44
14/01/2016,13,11367,2254,5416,360,31,40
14/01/2016,14,11367,2279,5533,247,32,42
14/01/2016,15,11367,2401,5561,216,16,40
14/01/2016,16,11367,2521,5708,167,5,35
14/01/2016,17,11376,2708,5815,142,1,34
14/01/2016,18,11331,3031,6067,279,0,34
14/01/2016,19,11329,2912,6051,681,0,34
14/01/2016,20,11333,2580,5779,965,0,34
14/01/2016,21,11327,2664,5653,1035,0,34
14/01/2016,22,11322,2292,5201,1122,0,34
14/01/2016,23,11322,1394,4997,1097,0,34
14/01/2016,24,11327,1020,4398,1049,0,22
15/01/2016,1,11326,924,4051,1086,0,16
15/01/2016,2,11330,924,3804,1345,0,16
15/01/2016,3,11328,922,3528,1508,0,14
15/01/2016,4,11328,924,3283,1770,0,15
15/01/2016,5,11323,921,3305,1642,0,18
15/01/2016,6,11255,923,3677,2107,0,21
15/01/2016,7,10794,923,4624,2206,0,28
15/01/2016,8,10492,939,5398,2400,0,34
15/01/2016,9,10489,955,5406,2326,4,35
15/01/2016,10,10480,1019,5729,2253,15,36
15/01/2016,11,10477,1070,5511,2357,29,35
15/01/2016,12,10544,1080,5181,2396,36,35
15/01/2016,13,11166,1335,4734,2055,47,35
15/01/2016,14,11306,1557,5273,1809,22,35
15/01/2016,15,11309,1689,5390,1586,22,35
15/01/2016,16,11313,1623,5439,1728,7,34
15/01/2016,17,11370,1591,5072,1854,0,46
15/01/2016,18,11222,1737,5299,2000,0,37
15/01/2016,19,11002,1734,5447,1970,0,33
15/01/2016,20,10914,1737,5201,2231,0,33
15/01/2016,21,10790,1739,4994,2375,0,34
15/01/2016,22,10654,1597,4653,2536,0,34
15/01/2016,23,10602,1069,4132,2490,0,34
15/01/2016,24,10621,925,3717,2150,0,21
16/01/2016,1,10695,912,3593,1839,0,3
16/01/2016,2,10761,912,3319,1762,0,2
16/01/2016,3,10768,911,3204,1597,0,2
16/01/2016,4,10774,912,3109,1415,0,2
16/01/2016,5,10774,912,3079,1570,0,2
16/01/2016,6,10769,911,3190,1630,0,3
16/01/2016,7,10766,914,3635,1678,0,2
16/01/2016,8,10769,905,3768,2211,0,2
16/01/2016,9,10766,872,4163,2372,0,2
16/01/2016,10,10760,910,5076,2300,3,3
16/01/2016,11,10756,920,5201,2204,13,4
16/01/2016,12,10743,937,4739,2009,28,5
16/01/2016,13,10748,909,4788,2171,45,2
16/01/2016,14,10751,1017,4318,2392,36,2
16/01/2016,15,10750,1128,4226,2379,78,2
16/01/2016,16,10751,1538,4467,2052,14,2
16/01/2016,17,10676,1825,4901,1898,2,2
16/01/2016,18,10804,1900,5502,1626,0,2
16/01/2016,19,10926,1899,5474,1438,0,2
16/01/2016,20,10932,1894,5649,1160,0,2
16/01/2016,21,10930,1754,5669,940,0,2
16/01/2016,22,11006,1509,5384,953,0,2
16/01/2016,23,11020,1258,4547,1054,0,2
16/01/2016,24,11016,1100,4070,1212,0,2
17/01/2016,1,11019,1101,3371,1312,0,2
17/01/2016,2,11020,944,3315,1180,0,2
17/01/2016,3,11019,914,3280,1116,0,2
17/01/2016,4,11020,917,3206,1099,0,2
