date,hour,OntDemand
10/01/2016,17,17352
10/01/2016,18,18498
10/01/2016,19,18386
10/01/2016,20,17771
10/01/2016,21,17429
10/01/2016,22,16713
10/01/2016,23,15967
10/01/2016,24,15138
11/01/2016,1,14459
11/01/2016,2,14070
11/01/2016,3,13990
11/01/2016,4,14091
11/01/2016,5,14465
11/01/2016,6,15214
11/01/2016,7,16653
11/01/2016,8,18165
11/01/2016,9,18164
11/01/2016,10,17840
11/01/2016,11,17709
11/01/2016,12,17857
11/01/2016,13,17626
11/01/2016,14,17781
11/01/2016,15,17767
11/01/2016,16,18175
11/01/2016,17,19224
11/01/2016,18,20347
11/01/2016,19,20494
11/01/2016,20,20314
11/01/2016,21,19938
11/01/2016,22,19109
11/01/2016,23,17982
11/01/2016,24,16643
12/01/2016,1,15705
12/01/2016,2,15365
12/01/2016,3,15204
12/01/2016,4,15039
12/01/2016,5,15003
12/01/2016,6,15616
12/01/2016,7,16899
12/01/2016,8,18563
12/01/2016,9,18699
12/01/2016,10,18575
12/01/2016,11,18480
12/01/2016,12,18512
12/01/2016,13,18312
12/01/2016,14,18262
12/01/2016,15,18271
12/01/2016,16,18369
12/01/2016,17,19022
12/01/2016,18,20144
12/01/2016,19,20186
12/01/2016,20,19925
12/01/2016,21,19507
12/01/2016,22,18705
12/01/2016,23,17577
12/01/2016,24,16441
13/01/2016,1,15475
13/01/2016,2,15036
13/01/2016,3,14900
13/01/2016,4,14953
13/01/2016,5,15103
13/01/2016,6,15821
13/01/2016,7,17257
13/01/2016,8,18625
13/01/2016,9,18819
13/01/2016,10,18600
13/01/2016,11,18332
13/01/2016,12,18230
13/01/2016,13,17889
13/01/2016,14,17891
13/01/2016,15,17884
13/01/2016,16,18327
13/01/2016,17,19257
13/01/2016,18,20354
13/01/2016,19,20354
13/01/2016,20,20101
13/01/2016,21,19682
13/01/2016,22,18983
13/01/2016,23,17845
13/01/2016,24,16624
14/01/2016,1,15831
14/01/2016,2,15520
14/01/2016,3,15365
14/01/2016,4,15369
14/01/2016,5,15469
14/01/2016,6,15963
14/01/2016,7,17294
14/01/2016,8,18813
14/01/2016,9,18980
14/01/2016,10,18947
14/01/2016,11,18762
14/01/2016,12,18579
14/01/2016,13,18245
14/01/2016,14,18123
14/01/2016,15,18091
14/01/2016,16,18359
14/01/2016,17,19066
14/01/2016,18,20091
14/01/2016,19,19996
14/01/2016,20,19800
14/01/2016,21,19432
