date,hour,Temperature
09/01/2016,19,6.9
09/01/2016,20,6.9
09/01/2016,21,7.7
09/01/2016,22,7.4
09/01/2016,23,7.3
09/01/2016,24,6.8
10/01/2016,1,6.5
10/01/2016,2,6.3
10/01/2016,3,6.2
10/01/2016,4,6.5
10/01/2016,5,6.4
10/01/2016,6,6
10/01/2016,7,6
10/01/2016,8,6.8
10/01/2016,9,6.8
10/01/2016,10,6.2
10/01/2016,11,5.8
10/01/2016,12,5.8
10/01/2016,13,6.4
10/01/2016,14,7.4
10/01/2016,15,6.5
10/01/2016,16,4.4
10/01/2016,17,0.5
10/01/2016,18,-0.3
10/01/2016,19,-0.6
10/01/2016,20,-1.4
10/01/2016,21,-2.1
10/01/2016,22,-2.9
10/01/2016,23,-3.3
10/01/2016,24,-4.6
11/01/2016,1,-4.6
11/01/2016,2,-5.3
11/01/2016,3,-5.5
11/01/2016,4,-6.1
11/01/2016,5,-6.5
11/01/2016,6,-6.9
11/01/2016,7,-7
11/01/2016,8,-7.2
11/01/2016,9,-7.6
11/01/2016,10,-7.2
11/01/2016,11,-6.8
11/01/2016,12,-6
11/01/2016,13,-5.9
11/01/2016,14,-5.7
11/01/2016,15,-5.7
11/01/2016,16,-6.2
11/01/2016,17,-6.3
11/01/2016,18,-7
11/01/2016,19,-7.3
11/01/2016,20,-8.1
11/01/2016,21,-8.5
11/01/2016,22,-8.7
11/01/2016,23,-8.6
11/01/2016,24,-8.3
12/01/2016,1,-8
12/01/2016,2,-8.2
12/01/2016,3,-7.7
12/01/2016,4,-7.5
12/01/2016,5,-5.8
12/01/2016,6,-5.4
12/01/2016,7,-4.4
12/01/2016,8,-3.5
12/01/2016,9,-2.7
12/01/2016,10,-1.4
12/01/2016,11,-1.2
12/01/2016,12,-1.3
12/01/2016,13,-1.1
12/01/2016,14,-1.9
12/01/2016,15,-3.3
12/01/2016,16,-4.4
12/01/2016,17,-5
12/01/2016,18,-5.6
12/01/2016,19,-6.2
12/01/2016,20,-4.7
12/01/2016,21,-5
12/01/2016,22,-5.7
12/01/2016,23,-6.1
12/01/2016,24,-6.7
13/01/2016,1,-6.7
13/01/2016,2,-7.3
13/01/2016,3,-7.7
13/01/2016,4,-8.2
13/01/2016,5,-8.7
13/01/2016,6,-8.9
13/01/2016,7,-8.8
13/01/2016,8,-8.6
13/01/2016,9,-8.4
13/01/2016,10,-8.3
13/01/2016,11,-7.3
13/01/2016,12,-7.1
13/01/2016,13,-6.4
13/01/2016,14,-6.9
13/01/2016,15,-6.9
13/01/2016,16,-7.4
13/01/2016,17,-7.8
13/01/2016,18,-7.6
13/01/2016,19,-7.9
13/01/2016,20,-7.9
13/01/2016,21,-7.2
13/01/2016,22,-6.8
13/01/2016,23,-7.1
13/01/2016,24,-7.2
14/01/2016,1,-7.2
14/01/2016,2,-7.2
14/01/2016,3,-7
14/01/2016,4,-7.3
14/01/2016,5,-7.2
14/01/2016,6,-7
14/01/2016,7,-6.8
14/01/2016,8,-6.5
14/01/2016,9,-5.9
14/01/2016,10,-5.2
14/01/2016,11,-4.3
14/01/2016,12,-3.3
14/01/2016,13,-2
14/01/2016,14,-1.8
14/01/2016,15,-1.3
14/01/2016,16,-1.4
14/01/2016,17,-1.5
14/01/2016,18,-1.7
14/01/2016,19,-1.8
14/01/2016,20,-2.1
14/01/2016,21,-2.2
14/01/2016,22,-2.2
14/01/2016,23,-2
14/01/2016,24,-1.8
15/01/2016,1,-1.9
15/01/2016,2,-1.9
15/01/2016,3,-1.7
15/01/2016,4,0
15/01/2016,5,1.2
15/01/2016,6,1.6
15/01/2016,7,1.4
15/01/2016,8,1.1
15/01/2016,9,1.5
15/01/2016,10,1.7
15/01/2016,11,1.6
15/01/2016,12,1.7
15/01/2016,13,2
15/01/2016,14,2.7
15/01/2016,15,2.2
15/01/2016,16,1.9
15/01/2016,17,1.9
15/01/2016,18,1.6
15/01/2016,19,1.8
15/01/2016,20,2.4
15/01/2016,21,2.8
15/01/2016,22,3.5
15/01/2016,23,4.5
15/01/2016,24,5.4
16/01/2016,1,5
16/01/2016,2,3.9
16/01/2016,3,3.8
16/01/2016,4,3.7
16/01/2016,5,3.5
16/01/2016,6,3.6
16/01/2016,7,3.4
16/01/2016,8,3.1
16/01/2016,9,2.8
16/01/2016,10,1.3
16/01/2016,11,0.8
16/01/2016,12,0.6
16/01/2016,13,1.1
16/01/2016,14,1.1
16/01/2016,15,-0.2
16/01/2016,16,-0.8
16/01/2016,17,-1.5
16/01/2016,18,-1.8
16/01/2016,19,-1.9
16/01/2016,20,-2
16/01/2016,21,-2.3
16/01/2016,22,-2.5
16/01/2016,23,-2.2
16/01/2016,24,-2.1
17/01/2016,1,-1.7
17/01/2016,2,-1.9
17/01/2016,3,-1.9
17/01/2016,4,-1.1
17/01/2016,5,-0.8
17/01/2016,6,-0.8
17/01/2016,7,-0.5
17/01/2016,8,-0.5
17/01/2016,9,-0.6
17/01/2016,10,-0.6
17/01/2016,11,-0.7
17/01/2016,12,-0.4
17/01/2016,13,0
17/01/2016,14,-2
17/01/2016,15,-1.6
17/01/2016,16,-3
17/01/2016,17,-4.5
17/01/2016,18,-5.6
17/01/2016,19,-6.5
17/01/2016,20,-7.8
17/01/2016,21,-8.4
17/01/2016,22,-8.8
17/01/2016,23,-8.9
17/01/2016,24,-8.7
18/01/2016,1,-8.6
18/01/2016,2,-8.2
18/01/2016,3,-8.9
18/01/2016,4,-9.1
18/01/2016,5,-9.7
18/01/2016,6,-8.7
18/01/2016,7,-9.5
18/01/2016,8,-9.8
18/01/2016,9,-9.9
18/01/2016,10,-9.6
18/01/2016,11,-8.9
18/01/2016,12,-8.7
18/01/2016,13,-8.1
18/01/2016,14,-7.2
18/01/2016,15,-6.9
18/01/2016,16,-7.2
18/01/2016,17,-7.2
18/01/2016,18,-7.9
18/01/2016,19,-8.1
18/01/2016,20,-8.8
18/01/2016,21,-9
18/01/2016,22,-9
18/01/2016,23,-8.6
18/01/2016,24,-8.9
19/01/2016,1,-9.2
19/01/2016,2,-10.1
19/01/2016,3,-10.9
19/01/2016,4,-12
19/01/2016,5,-12.8
19/01/2016,6,-13.1
19/01/2016,7,-12.8
19/01/2016,8,-12.4
19/01/2016,9,-11.3
19/01/2016,10,-9
19/01/2016,11,-7.8
19/01/2016,12,-6
19/01/2016,13,-4.4
19/01/2016,14,-3.4
19/01/2016,15,-3.2
19/01/2016,16,-3.2
19/01/2016,17,-3.1
19/01/2016,18,-3.6
19/01/2016,19,-3.5
19/01/2016,20,-3.3
19/01/2016,21,-3.1
19/01/2016,22,-2.9
19/01/2016,23,-3.1
19/01/2016,24,-3.2
20/01/2016,1,-3.1
20/01/2016,2,-2.8
20/01/2016,3,-2.9
20/01/2016,4,-3
20/01/2016,5,-3.2
20/01/2016,6,-3.2
20/01/2016,7,-3.4
20/01/2016,8,-3.5
20/01/2016,9,-4.4
20/01/2016,10,-4.4
20/01/2016,11,-4.2
20/01/2016,12,-3.8
20/01/2016,13,-3.4
20/01/2016,14,-3
20/01/2016,15,-3.1
20/01/2016,16,-3.1
20/01/2016,17,-3.1
20/01/2016,18,-3.3
20/01/2016,19,-3.9
20/01/2016,20,-4.2
20/01/2016,21,-4.6
20/01/2016,22,-4.8
20/01/2016,23,-5
20/01/2016,24,-5.3
21/01/2016,1,-5.6
21/01/2016,2,-6.3
21/01/2016,3,-6.4
21/01/2016,4,-5.9
21/01/2016,5,-5.9
21/01/2016,6,-5.8
21/01/2016,7,-5.4
21/01/2016,8,-5.4
21/01/2016,9,-4.7
21/01/2016,10,-4.2
21/01/2016,11,-3.8
21/01/2016,12,-2.7
21/01/2016,13,-2.9
21/01/2016,14,-2.6
21/01/2016,15,-2.8
21/01/2016,16,-2.9
21/01/2016,17,-2.8
21/01/2016,18,-3.1
21/01/2016,19,-3.5
21/01/2016,20,-3.8
21/01/2016,21,-4.4
21/01/2016,22,-4.9
21/01/2016,23,-5.1
21/01/2016,24,-5.5
22/01/2016,1,-5.8
22/01/2016,2,-6.1
22/01/2016,3,-5.9
22/01/2016,4,-6
22/01/2016,5,-5.9
22/01/2016,6,-6.3
22/01/2016,7,-6.1
22/01/2016,8,-5.9
22/01/2016,9,-5.4
22/01/2016,10,-4.8
22/01/2016,11,-3.9
22/01/2016,12,-3
22/01/2016,13,-2.3
22/01/2016,14,-2.2
22/01/2016,15,-2.6
22/01/2016,16,-2.4
22/01/2016,17,-2.5
22/01/2016,18,-2.5
22/01/2016,19,-2.5
22/01/2016,20,-3
22/01/2016,21,-3.4
22/01/2016,22,-3.6
22/01/2016,23,-4.2
22/01/2016,24,-4.7
23/01/2016,1,-5.2
23/01/2016,2,-5.7
23/01/2016,3,-6.2
23/01/2016,4,-6.8
23/01/2016,5,-7.4
23/01/2016,6,-7.7
23/01/2016,7,-8.3
23/01/2016,8,-8.6
23/01/2016,9,-9.4
23/01/2016,10,-9.2
23/01/2016,11,-8
23/01/2016,12,-6.1
23/01/2016,13,-5.9
23/01/2016,14,-4.4
23/01/2016,15,-3
23/01/2016,16,-2.9
23/01/2016,17,-3.3
23/01/2016,18,-4.6
23/01/2016,19,-5.7
23/01/2016,20,-6.1
23/01/2016,21,-6.4
23/01/2016,22,-6.5
